Shop name,category,remarks,city,district,lat,long,recommended by
密陽血腸豬肉湯飯 (밀양순대돼지국밥),美食 (Food),海雲台超人氣傳統豬肉湯飯，湯頭濃郁無腥味，附新鮮韭菜與蝦醬，24小時營業適合早餐或宵夜。,釜山,海雲台區 (Haeundae-gu),35.1631,129.1592,"https://www.instagram.com/reel/DbfsIpsJzMY/
https://www.instagram.com/reel/DX_oaLmhbo-/"
阿妹豬肉湯飯 (아매돼지국밥),美食 (Food),西面在地人私藏湯飯，豬肉切片厚實嫩滑，清湯鮮甜，搭配辣韭菜非常過癮。,釜山,釜山鎮區 (Busanjin-gu),35.1578,129.0595,https://www.instagram.com/reel/DZr9jNNzVFx/
雙胞胎豬肉湯飯 (쌍둥이돼지국밥),美食 (Food),大淵洞經典老字號，白煮肉套餐（수육백반）極受歡迎，肉質軟嫩入口即化。,釜山,南區 (Nam-gu),35.1385,129.0912,https://www.instagram.com/reel/C8zPh7yx8HU/
海雲台有名暗牛갈비 (해운대소문난암소갈비집),美食 (Food),釜山最頂級秘製醬醬醃韓牛排骨，必點靈魂土豆麵（馬鈴薯麵）吸滿烤肉醬汁汁底。,釜山,海雲台區 (Haeundae-gu),35.1622,129.1645,https://www.instagram.com/reel/Db0HqbczsEy/
味讚得王鹽烤肉 西面店 (맛찬들왕소금구이 서면점),美食 (Food),厚切3.5公分熟成五花肉，專人全程代烤至金黃酥脆，搭配老酸菜與紫蘇葉絕配。,釜山,釜山鎮區 (Busanjin-gu),35.1549,129.0578,"https://www.instagram.com/reel/DXRfa7rCZiO/
https://www.instagram.com/reel/DaURrf4uk53/"
Toneou 炸豬排 廣安里店 (톤쇼우 광안점),美食 (Food),釜山天花板級別黑豬肉炸豬排（Berkshire K），外酥內嫩多汁，極難排隊，需提前用CatchTable搶號。,釜山,水營區 (Suyeong-gu),35.1528,129.1171,https://www.instagram.com/reel/DYKctK_v3-A/
青沙浦秀敏家烤貝 (수민이네),美食 (Food),青沙浦紅白燈塔旁海景烤貝與烤穴子魚（海鰻），奶油起司烤大蛤蜊鮮甜無比，傍晚氣氛極佳。,釜山,海雲台區 (Haeundae-gu),35.1611,129.1912,"https://www.instagram.com/p/DC6RNYlTZ-8/
https://www.instagram.com/reel/DTfRpoOkjtb/"
札嘎其市場 (자갈치시장),美食 (Food),韓國最大水產市場，一樓親自挑選活帝王蟹、生魚片、海膽，二樓代客料理，鮮味十足。,釜山,中區 (Jung-gu),35.0967,129.0306,https://www.instagram.com/reel/DbVm6nETHVe/
民樂水邊公園/民樂生魚片城 (민락수변공원),美食 (Food),超平價外帶現切生魚片拼盤，帶到海灘一邊欣賞廣安大橋夜景一邊享用，在地浪漫體驗。,釜山,水營區 (Suyeong-gu),35.1554,129.1235,https://www.instagram.com/reel/DS190XYATSx/
李在摩披薩 西面店 (이재모피자 서면점),美食 (Food),釜山神級國民披薩！選用100%韓國純天然起司，起司餅邊爆漿濃郁，搭配特製蒜味沾醬必吃。,釜산,釜山鎮區 (Busanjin-gu),35.1552,129.0583,"https://www.instagram.com/reel/DKej9_VzSaT/
https://www.instagram.com/reel/DHVoymYyHfM/"
